Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
14.10.04,1:00:00,-200.0,2.2,-200,15.0,56.4,,
03.12.04,19:00:00,4.9,23.6,128,15.7,72.7,,
04.10.04,13:00:00,-200.0,18.2,-200,26.0,44.5,,
11.05.04,1:00:00,0.4,2.8,53,15.0,59.8,119.0103238,60.91063855
17.03.04,13:00:00,2.8,15.1,153,25.6,25.6,27.20379765,59.18268193
22.03.05,3:00:00,0.7,1.8,62,12.8,63.6,,
05.01.05,18:00:00,2.8,13.5,152,13.6,64.0,,
14.06.04,6:00:00,0.7,3.5,62,20.3,49.3,,
02.11.04,2:00:00,1.1,4.8,49,17.9,74.8,,
21.10.04,5:00:00,0.8,5.1,60,21.3,69.5,,
27.12.04,10:00:00,1.9,8.6,127,12.9,63.2,,
12.10.04,4:00:00,0.5,3.2,34,17.8,67.5,,
30.10.04,7:00:00,2.4,13.6,94,16.8,79.8,,
09.06.04,22:00:00,1.9,11.7,107,26.5,38.6,,
22.09.04,10:00:00,3.7,20.0,172,26.8,42.7,,
19.12.04,4:00:00,-200.0,2.7,78,5.1,46.5,,
14.02.05,6:00:00,0.7,2.9,81,6.9,70.0,,
21.03.04,22:00:00,1.9,8.0,105,17.0,51.7,42.27595628,59.0736764
22.03.04,16:00:00,2.3,11.6,101,21.3,24.2,38.76694425,51.78784185
18.12.04,5:00:00,1.3,6.1,90,10.8,80.0,,
28.11.04,21:00:00,4.1,13.0,132,10.3,75.1,,
10.06.04,5:00:00,0.9,5.4,76,19.5,59.4,,
25.12.04,11:00:00,2.8,10.6,138,10.2,67.3,,
22.08.04,18:00:00,-200.0,5.3,-200,34.6,20.0,,
05.05.04,3:00:00,0.5,1.8,-200,15.5,66.9,55.0801999,163.0920729
19.10.04,18:00:00,-200.0,23.6,-200,21.2,61.7,,
10.02.05,7:00:00,1.9,-200.0,156,-200.0,-200.0,,
18.12.04,16:00:00,0.9,3.6,80,14.9,17.1,,
09.06.04,23:00:00,1.5,8.7,84,25.4,40.1,,
25.04.04,15:00:00,0.9,3.4,59,19.4,25.7,171.6330826,201.6716169
01.08.04,6:00:00,0.4,2.6,30,23.3,62.0,,
11.02.05,7:00:00,1.8,-200.0,152,-200.0,-200.0,,
01.09.04,20:00:00,3.0,14.5,122,28.0,33.0,,
03.11.04,10:00:00,3.7,21.0,94,23.7,49.1,,
22.09.04,19:00:00,5.2,26.7,194,26.7,43.3,,
07.03.05,2:00:00,0.9,1.7,84,5.1,51.2,,
24.04.04,5:00:00,0.7,3.7,65,14.8,57.7,175.3540941,201.1479879
25.09.04,11:00:00,1.5,6.5,66,19.1,37.0,,
23.03.04,23:00:00,1.3,5.4,86,11.0,61.4,82.1259733,109.7930117
17.09.04,12:00:00,1.6,9.0,89,22.8,41.8,,
10.07.04,17:00:00,0.7,5.5,69,31.8,18.7,,
03.09.04,7:00:00,-200.0,18.0,-200,22.0,59.3,,
29.08.04,15:00:00,-200.0,4.1,-200,34.1,23.4,,
07.10.04,15:00:00,-200.0,12.7,-200,27.2,40.7,,
23.03.04,1:00:00,0.8,2.7,64,14.0,51.3,77.24714822,120.4319621
11.06.04,2:00:00,0.6,3.5,65,24.8,37.8,,
30.01.05,12:00:00,1.0,2.0,92,7.2,34.2,,
19.02.05,19:00:00,2.5,10.0,202,10.9,34.9,,
06.02.05,2:00:00,1.4,5.0,172,3.1,47.1,,
24.08.04,3:00:00,0.5,2.1,-200,21.2,43.8,,
08.09.04,20:00:00,3.8,18.1,163,28.2,24.8,,
22.10.04,10:00:00,2.7,18.3,83,22.6,59.9,,
01.12.04,12:00:00,3.5,17.1,182,13.8,63.6,,
24.09.04,14:00:00,4.2,24.0,145,25.6,48.3,,
11.04.04,14:00:00,0.6,2.3,35,22.2,18.9,127.305521,161.03942759999995
29.11.04,18:00:00,2.3,10.0,115,16.7,57.3,,
11.03.05,0:00:00,1.4,5.2,133,7.7,41.7,,
04.07.04,19:00:00,1.6,9.1,103,32.3,19.7,,
15.05.04,14:00:00,1.3,6.4,75,26.1,21.1,123.4071064,65.23829623
14.04.04,1:00:00,0.9,3.9,73,10.9,64.6,159.2004693,168.1326456
06.02.05,23:00:00,1.0,2.4,120,5.1,37.9,,
02.11.04,13:00:00,5.1,31.2,150,25.7,45.6,,
13.05.04,8:00:00,3.6,17.9,136,16.0,59.3,128.2676301,66.4268043
15.11.04,5:00:00,0.3,0.4,22,10.4,38.6,,
05.05.04,17:00:00,1.6,10.0,72,17.7,56.9,47.58488144,134.2916159
24.03.05,20:00:00,7.5,35.5,232,18.8,49.1,,
26.10.04,22:00:00,1.4,7.9,79,19.8,63.7,,
09.12.04,2:00:00,0.8,2.0,66,14.7,67.3,,
13.12.04,11:00:00,4.8,22.4,214,12.0,45.9,,
29.04.04,21:00:00,2.9,16.3,112,18.2,58.8,181.5371472,202.7656023
24.11.04,22:00:00,4.5,19.0,141,8.6,82.3,,
12.07.04,9:00:00,1.7,8.5,104,21.7,46.3,,
25.02.05,6:00:00,1.0,4.1,146,5.2,80.7,,
15.08.04,1:00:00,0.5,3.0,34,25.7,52.5,,
27.01.05,1:00:00,0.2,2.2,83,4.5,42.0,,
18.06.04,0:00:00,1.8,10.6,105,24.0,47.3,,
29.09.04,17:00:00,4.0,21.6,188,27.2,26.3,,
23.11.04,22:00:00,4.7,21.8,147,10.0,82.5,,
30.04.04,10:00:00,2.7,12.6,116,16.3,73.2,34.91439065,138.7962238
11.05.04,17:00:00,3.5,21.1,125,26.3,27.5,118.38923090000002,68.84955265
29.07.04,2:00:00,-200.0,2.6,33,25.7,30.9,,
29.10.04,13:00:00,5.1,22.4,137,20.2,82.2,,
12.07.04,6:00:00,1.4,9.4,84,18.5,57.4,,
17.05.04,6:00:00,1.3,7.0,102,16.0,38.1,118.5474256,63.18917702
13.12.04,3:00:00,1.3,2.4,-200,6.9,62.3,,
23.09.04,19:00:00,4.7,25.6,173,27.2,45.9,,
06.11.04,1:00:00,1.8,9.0,76,16.1,71.2,,
29.03.05,1:00:00,1.0,2.9,83,14.7,66.4,,
14.09.04,18:00:00,-200.0,18.7,-200,28.6,48.2,,
28.08.04,19:00:00,-200.0,9.0,-200,29.8,39.6,,
24.02.05,22:00:00,2.4,8.4,227,5.6,81.2,,
04.06.04,0:00:00,-200.0,8.5,-200,20.6,49.2,,
06.09.04,2:00:00,0.6,1.7,-200,24.3,42.9,,
05.04.04,5:00:00,-200.0,3.1,-200,13.5,63.9,120.5478835,167.7329409
14.03.04,21:00:00,3.4,14.7,146,16.7,49.6,41.84882785,58.28063678
26.02.05,11:00:00,1.4,3.6,116,9.6,43.5,,
27.12.04,22:00:00,1.6,6.0,117,12.1,65.6,,
25.11.04,21:00:00,2.6,11.4,129,10.7,59.8,,
14.06.04,23:00:00,1.2,5.2,72,21.8,45.6,,
23.11.04,0:00:00,1.3,11.6,121,7.9,72.5,,
13.02.05,5:00:00,2.9,11.5,153,8.5,82.9,,
05.10.04,10:00:00,-200.0,22.8,-200,23.9,48.7,,
15.08.04,16:00:00,0.5,3.0,36,37.9,15.9,,
29.05.04,22:00:00,1.3,8.5,93,19.5,36.9,,
30.01.05,0:00:00,1.1,2.3,92,2.9,49.7,,
17.07.04,19:00:00,2.1,10.7,112,34.0,19.2,,
07.07.04,1:00:00,1.6,9.2,95,26.3,33.7,,
18.07.04,22:00:00,1.6,11.7,102,29.0,27.0,,
29.03.05,15:00:00,2.7,12.3,153,18.3,57.9,,
18.10.04,13:00:00,-200.0,19.9,-200,21.4,47.2,,
12.08.04,9:00:00,1.9,9.5,71,29.4,53.1,,
21.12.04,5:00:00,0.3,0.7,41,4.7,41.4,,
21.08.04,15:00:00,-200.0,3.0,-200,26.9,35.2,,
31.01.05,1:00:00,1.5,3.0,126,3.4,38.9,,
18.03.04,13:00:00,2.2,12.2,133,24.2,28.7,41.96294265,57.13451720000001
29.09.04,9:00:00,5.2,28.6,170,19.0,47.8,,
29.01.05,2:00:00,0.7,0.8,60,1.9,49.7,,
18.01.05,8:00:00,3.1,16.8,167,3.9,57.3,,
06.06.04,7:00:00,1.0,5.2,62,18.3,66.5,,
21.10.04,14:00:00,2.1,15.0,111,27.2,48.5,,
10.03.05,2:00:00,1.1,4.1,98,6.1,72.1,,
01.04.04,21:00:00,2.5,10.8,124,16.8,44.0,80.19171107,103.6262158
15.11.04,14:00:00,1.7,6.2,111,13.7,32.2,,
08.03.05,3:00:00,0.8,1.9,-200,1.0,56.7,,
06.02.05,6:00:00,0.7,1.3,85,1.0,52.2,,
20.07.04,22:00:00,-200.0,14.3,104,30.1,30.2,,
29.01.05,4:00:00,0.5,0.5,34,1.4,53.8,,
01.05.04,20:00:00,2.8,10.8,112,19.0,51.7,36.64623181,128.4119834
24.11.04,20:00:00,8.4,36.0,181,10.1,79.3,,
17.06.04,4:00:00,-200.0,3.3,51,18.8,58.6,,
14.08.04,0:00:00,1.3,5.6,78,25.4,54.6,,
10.05.04,19:00:00,4.0,24.4,135,19.2,45.7,118.9601213,66.16908897
07.02.05,1:00:00,1.0,2.0,92,4.5,38.1,,
22.09.04,17:00:00,5.0,27.3,218,32.2,28.8,,
20.05.04,12:00:00,2.0,12.0,108,30.3,23.3,118.4886964,65.91836961
09.01.05,0:00:00,1.7,6.3,127,14.0,61.4,,
23.05.04,0:00:00,4.1,20.5,114,19.8,54.5,128.3093002,67.21783037
04.07.04,21:00:00,1.7,10.1,108,28.2,28.7,,
01.02.05,12:00:00,4.5,19.8,227,7.3,50.8,,
10.02.05,11:00:00,3.7,-200.0,232,-200.0,-200.0,,
06.10.04,23:00:00,-200.0,11.4,-200,20.4,62.4,,
24.10.04,14:00:00,1.4,7.4,70,24.8,47.9,,
05.02.05,16:00:00,1.0,3.4,126,9.6,31.1,,
17.05.04,7:00:00,2.6,14.4,113,17.6,35.0,112.8773794,61.73187064
31.01.05,23:00:00,1.4,5.4,161,5.1,45.6,,
05.07.04,16:00:00,1.8,11.1,132,40.1,16.1,,
02.03.05,3:00:00,0.5,0.9,-200,-1.1,41.4,,
29.11.04,8:00:00,4.2,20.6,120,9.6,80.8,,
13.08.04,17:00:00,1.0,4.6,70,34.0,25.2,,
21.12.04,17:00:00,2.5,10.7,145,7.9,38.6,,
30.03.05,23:00:00,1.5,6.6,112,15.3,65.4,,
22.10.04,7:00:00,2.8,19.5,78,19.8,69.4,,
25.12.04,1:00:00,5.6,14.2,164,9.6,65.9,,
09.02.05,5:00:00,0.7,-200.0,92,-200.0,-200.0,,
28.07.04,14:00:00,-200.0,7.8,92,33.9,16.2,,
12.03.04,1:00:00,1.9,6.4,110,7.7,59.7,27.22908934,52.68753838
23.01.05,15:00:00,-200.0,9.0,169,8.3,41.3,,
11.07.04,6:00:00,0.2,2.3,35,21.3,48.8,,
04.04.04,23:00:00,-200.0,6.4,-200,15.3,60.8,85.36638224,113.58241809999998
09.12.04,9:00:00,2.0,7.4,114,14.5,56.5,,
19.11.04,3:00:00,1.2,2.3,-200,14.9,65.3,,
18.03.04,11:00:00,2.8,14.3,152,20.8,34.4,39.42552459,51.08668776
22.03.04,1:00:00,1.5,5.1,76,15.8,60.5,40.51824888,55.24926677
24.04.04,8:00:00,2.5,15.0,86,16.7,51.9,175.2152344,218.3578861
10.05.04,14:00:00,2.2,13.4,102,21.5,39.7,121.995224,70.41641042
04.03.05,4:00:00,0.6,1.3,92,4.5,65.1,,
11.06.04,12:00:00,2.0,13.1,111,35.9,19.6,,
19.07.04,4:00:00,0.1,2.9,50,22.2,42.8,,
21.05.04,0:00:00,1.2,6.8,93,20.5,42.0,116.1443284,65.68810739
30.07.04,20:00:00,-200.0,14.5,135,30.9,34.2,,
14.03.04,23:00:00,2.2,8.8,119,14.7,55.9,22.59235631,52.31511657
20.12.04,3:00:00,0.9,2.0,-200,9.5,69.9,,
24.01.05,20:00:00,1.2,7.3,152,6.9,42.5,,
12.03.05,3:00:00,0.3,4.5,134,10.2,57.9,,
13.08.04,13:00:00,0.8,4.2,71,36.3,27.4,,
20.10.04,19:00:00,6.8,35.9,134,23.0,65.9,,
22.06.04,7:00:00,3.1,18.5,106,18.2,55.8,,
03.08.04,0:00:00,0.1,8.1,74,26.4,52.2,,
02.12.04,13:00:00,3.4,16.8,128,16.4,61.9,,
17.01.05,2:00:00,1.0,2.9,100,4.4,53.1,,
06.09.04,21:00:00,1.3,5.5,-200,25.7,35.8,,
18.04.04,22:00:00,-200.0,6.6,-200,15.5,63.3,181.9782827,211.5914126
28.06.04,10:00:00,3.3,16.6,183,32.6,28.0,,
13.03.05,15:00:00,0.1,3.3,82,19.9,36.6,,
14.01.05,10:00:00,4.1,17.7,147,8.0,71.9,,
19.06.04,14:00:00,1.2,-200.0,68,-200.0,-200.0,,
06.11.04,9:00:00,2.9,16.4,97,15.9,69.8,,
18.06.04,2:00:00,0.5,3.1,43,24.0,45.8,,
08.01.05,7:00:00,1.3,4.5,93,8.1,68.0,,
03.10.04,23:00:00,-200.0,7.8,-200,20.5,64.9,,
15.04.04,20:00:00,6.1,24.2,148,16.8,49.8,157.8099096,163.5689519
16.11.04,5:00:00,0.5,0.7,40,10.7,41.8,,
01.06.04,12:00:00,1.9,15.9,89,21.6,61.8,,
02.04.05,3:00:00,0.5,1.4,70,11.9,35.6,,
14.09.04,11:00:00,-200.0,15.8,-200,30.1,42.0,,
10.05.04,12:00:00,2.4,13.4,93,20.7,42.4,116.3069529,66.21288104
30.01.05,7:00:00,0.4,0.4,49,2.8,43.8,,
01.11.04,8:00:00,1.5,8.7,51,19.1,75.6,,
26.03.04,17:00:00,2.3,11.2,102,14.2,43.3,78.21695559,116.8510147
27.10.04,20:00:00,2.8,15.3,94,18.2,71.4,,
07.10.04,20:00:00,7.0,35.7,117,23.2,54.7,,
12.05.04,19:00:00,3.4,14.8,123,17.6,43.7,130.1130949,62.37557865
11.10.04,23:00:00,1.3,6.5,57,18.8,60.9,,
27.06.04,22:00:00,2.4,11.9,137,29.0,33.6,,
16.05.04,23:00:00,1.4,5.6,93,20.3,28.5,113.2871788,61.54604235
12.03.05,21:00:00,3.3,12.4,221,12.0,56.1,,
01.04.05,15:00:00,1.1,3.6,119,19.4,25.3,,
26.01.05,5:00:00,-200.0,0.1,17,2.7,53.9,,
15.05.04,16:00:00,1.4,8.1,86,27.4,20.5,129.4300821,60.9744682
12.05.04,13:00:00,5.1,29.3,131,20.4,55.7,111.6652187,67.3421891
17.01.05,16:00:00,3.3,15.3,182,12.9,24.5,,
15.03.04,11:00:00,4.2,20.1,155,19.8,38.5,34.43008845,52.85803829999999
04.04.05,8:00:00,5.0,22.4,174,13.5,48.9,,
24.06.04,10:00:00,1.6,6.6,92,29.1,37.4,,
27.09.04,16:00:00,2.0,11.8,112,24.2,27.2,,
30.05.04,9:00:00,0.3,3.0,60,22.0,31.9,,
09.11.04,4:00:00,-200.0,1.4,-200,4.4,71.4,,
16.03.05,14:00:00,2.5,11.0,169,26.8,17.9,,
03.10.04,19:00:00,-200.0,20.8,-200,23.7,55.6,,
29.11.04,11:00:00,6.6,30.5,232,14.9,64.9,,
26.05.04,20:00:00,-200.0,20.3,-200,25.0,24.4,,
24.06.04,16:00:00,1.4,8.0,74,35.8,22.4,,
30.03.05,17:00:00,3.2,16.1,179,24.1,32.1,,
31.05.04,11:00:00,1.4,12.6,123,28.9,26.0,,
06.05.04,0:00:00,1.4,4.6,76,12.5,75.8,41.66072679,133.44006370000002
09.04.04,9:00:00,2.7,-200.0,122,-200.0,-200.0,151.75092880000003,151.22125780000005
08.06.04,20:00:00,3.8,21.6,143,28.8,30.2,,
27.11.04,0:00:00,4.1,16.9,143,13.0,73.7,,
29.08.04,11:00:00,-200.0,6.8,-200,32.3,31.8,,
01.05.04,22:00:00,3.6,14.8,115,17.4,57.6,48.48815242,142.53082369999996
23.03.04,13:00:00,3.5,16.9,132,13.8,53.4,85.79096667,105.361553
08.07.04,20:00:00,4.5,24.6,192,33.6,26.4,,
26.06.04,4:00:00,-200.0,2.5,58,21.2,39.4,,
24.06.04,23:00:00,4.1,20.5,126,24.6,45.3,,
01.05.04,17:00:00,1.8,8.3,95,23.7,37.2,37.60080045,175.259524
28.02.05,14:00:00,1.0,2.9,110,3.7,35.0,,
20.03.04,14:00:00,2.1,9.3,93,19.0,42.9,42.88273891,56.45819399999999
05.08.04,5:00:00,-200.0,3.9,-200,22.8,63.7,,
01.04.05,20:00:00,1.4,3.7,134,13.8,30.6,,
11.06.04,11:00:00,2.0,12.2,-200,34.4,21.0,,
22.04.04,21:00:00,-200.0,13.5,-200,20.2,37.4,182.6340117,208.5524746
25.06.04,17:00:00,2.4,13.3,115,35.4,15.3,,
30.05.04,8:00:00,0.3,2.7,67,20.2,37.8,,
23.05.04,9:00:00,0.8,3.8,64,20.6,41.2,114.7544972,68.17830078
18.10.04,23:00:00,-200.0,7.4,-200,16.5,67.2,,
12.08.04,4:00:00,-200.0,2.5,25,26.7,61.0,,
26.08.04,14:00:00,0.9,-200.0,52,-200.0,-200.0,,
13.02.05,8:00:00,2.8,11.9,149,8.7,83.7,,
31.05.04,21:00:00,0.8,7.5,69,19.3,68.8,,
19.01.05,3:00:00,-200.0,1.5,-200,6.9,76.4,,
17.08.04,6:00:00,1.0,5.6,41,22.2,53.9,,
05.07.04,1:00:00,0.6,3.7,55,25.5,35.7,,
13.09.04,14:00:00,2.2,12.6,120,32.1,33.5,,
25.02.05,14:00:00,2.2,7.6,137,11.5,42.1,,
28.05.04,22:00:00,1.0,7.0,96,19.8,46.8,,
04.04.04,1:00:00,-200.0,6.7,-200,15.9,59.2,76.09479509999998,119.0732321
07.06.04,10:00:00,2.9,17.4,122,28.4,29.7,,
21.01.05,0:00:00,1.8,5.8,119,8.0,52.2,,
26.01.05,17:00:00,0.3,4.2,126,4.8,49.7,,
06.07.04,0:00:00,1.9,9.8,105,25.4,43.0,,
02.03.05,1:00:00,0.8,1.5,93,0.0,29.7,,
24.08.04,15:00:00,1.6,9.1,118,36.3,19.5,,
13.05.04,1:00:00,1.2,4.7,75,16.4,50.5,111.9897011,60.76384511
04.04.04,6:00:00,-200.0,4.4,-200,12.9,69.1,85.93434292,104.8935117
23.06.04,4:00:00,-200.0,2.1,37,20.8,50.3,,
10.03.05,11:00:00,2.7,11.7,168,14.7,41.2,,
03.07.04,8:00:00,2.3,14.4,120,23.2,43.9,,
11.12.04,0:00:00,1.6,4.8,116,12.4,24.0,,
11.08.04,18:00:00,1.4,7.6,63,36.2,31.1,,
08.01.05,10:00:00,3.0,11.3,133,8.9,66.7,,
24.01.05,16:00:00,1.3,7.1,172,10.6,34.2,,
14.03.05,23:00:00,1.6,7.5,149,12.7,62.8,,
13.06.04,12:00:00,0.7,2.7,65,24.4,29.6,,
31.12.04,7:00:00,-200.0,1.1,-200,8.1,47.8,,
15.12.04,20:00:00,2.4,-200.0,115,-200.0,-200.0,,
12.04.04,14:00:00,0.7,1.7,60,10.7,67.6,150.3615152,160.2466466
05.03.05,5:00:00,1.1,3.5,110,4.2,62.5,,
15.03.05,4:00:00,0.5,1.1,58,11.6,61.0,,
16.04.04,4:00:00,1.0,3.6,69,11.9,74.8,139.99918280000003,153.2156203
26.11.04,12:00:00,4.0,18.9,179,14.9,57.0,,
25.06.04,14:00:00,1.6,8.3,89,35.5,20.3,,
10.10.04,3:00:00,1.1,4.9,-200,23.5,61.3,,
10.02.05,20:00:00,8.4,-200.0,276,-200.0,-200.0,,
21.05.04,13:00:00,2.0,13.2,98,31.7,21.7,110.7789629,62.71059255
23.04.04,5:00:00,0.6,2.9,59,14.2,52.2,186.23794880000003,214.6546618
19.09.04,19:00:00,4.4,20.4,188,27.5,38.1,,
20.11.04,9:00:00,2.8,15.3,214,7.2,43.2,,
07.07.04,8:00:00,4.1,27.9,141,26.9,34.4,,
14.02.05,5:00:00,0.4,1.5,49,7.7,68.9,,
25.12.04,8:00:00,2.0,8.6,122,9.1,69.6,,
11.11.04,11:00:00,4.5,21.0,194,11.2,80.7,,
04.09.04,0:00:00,2.2,11.4,-200,26.0,45.3,,
01.11.04,4:00:00,-200.0,16.9,52,18.4,77.9,,
14.04.04,21:00:00,-200.0,13.0,-200,14.8,49.7,141.193427,161.76959480000005
19.05.04,15:00:00,2.3,14.0,125,31.6,21.0,118.0608961,70.43932786
06.03.05,5:00:00,0.6,0.8,48,5.8,65.0,,
28.03.04,21:00:00,1.1,3.3,81,12.3,46.8,81.90029583,112.80122620000002
01.08.04,0:00:00,2.0,11.2,82,26.6,47.5,,
