CO,Benzene,NO2,Temperature,Humidity(%),Datetime
3.0,16.1,190,37.0,26.5,2004-06-30 11:00:00
2.5,11.1,110,13.7,76.3,2004-11-27 08:00:00
-200.0,7.9,175,8.1,41.2,2005-01-23 14:00:00
1.8,5.9,131,20.2,14.4,2005-10-03 16:00:00
0.4,0.7,32,11.1,40.8,2004-11-16 04:00:00
4.6,14.5,136,10.3,82.8,2004-12-25 21:00:00
1.6,6.2,174,6.4,36.8,2005-05-02 19:00:00
-200.0,3.9,-200,22.0,62.3,2004-08-30 05:00:00
-200.0,-200.0,-200,-200.0,-200.0,2004-05-25 21:00:00
-200.0,2.4,-200,16.6,59.6,2004-09-30 04:00:00
2.6,14.1,117,17.7,51.5,2004-07-12 16:00:00
1.4,7.1,-200,31.6,20.8,2004-07-09 15:00:00
2.6,4.0,110,12.8,14.8,2004-11-19 23:00:00
0.3,2.8,106,3.5,60.3,2005-01-25 21:00:00
0.8,2.4,89,1.9,60.0,2005-02-19 05:00:00
0.8,2.4,65,10.4,58.4,2004-12-04 23:00:00
2.3,9.2,144,13.2,64.5,2005-05-01 22:00:00
0.3,1.4,30,21.0,53.1,2004-08-06 04:00:00
3.4,20.0,88,15.7,76.4,2004-10-28 07:00:00
4.1,23.6,95,15.5,62.2,2004-12-05 07:00:00
-200.0,20.7,-200,23.9,54.6,2004-02-10 19:00:00
2.0,6.9,177,3.6,75.9,2005-03-03 11:00:00
3.8,15.1,208,8.2,40.5,2005-01-17 11:00:00
1.5,6.9,158,12.7,27.4,2005-08-02 13:00:00
0.7,4.9,134,4.3,56.4,2005-01-25 18:00:00
3.6,17.6,104,21.9,53.1,2004-09-16 19:00:00
2.2,10.3,192,14.8,17.9,2004-11-20 11:00:00
-200.0,8.2,-200,19.3,38.8,2004-04-22 22:00:00
1.5,9.7,80,27.8,40.0,2004-06-29 00:00:00
1.6,6.3,147,14.7,48.0,2005-03-17 00:00:00
-200.0,14.1,-200,32.3,30.2,2004-08-30 18:00:00
3.3,16.4,130,13.3,68.0,2004-12-17 20:00:00
0.8,2.0,66,12.3,48.7,2004-09-12 22:00:00
2.6,12.4,153,22.8,34.9,2005-03-21 17:00:00
2.3,12.5,99,19.1,26.2,2004-03-26 13:00:00
-200.0,2.8,90,8.9,71.9,2005-03-14 04:00:00
1.9,7.5,116,18.3,51.6,2004-11-13 18:00:00
1.4,6.6,78,27.7,28.1,2004-09-18 12:00:00
3.4,16.7,138,7.3,61.4,2004-12-13 09:00:00
2.3,11.9,114,22.6,39.3,2004-02-05 18:00:00
-200.0,13.6,96,20.9,40.4,2004-07-28 07:00:00
4.0,17.7,109,20.8,65.8,2004-10-30 20:00:00
1.8,9.6,45,19.2,74.7,2004-01-11 06:00:00
3.7,18.8,181,9.5,47.2,2005-01-02 13:00:00
0.9,3.0,55,19.8,38.6,2004-09-26 09:00:00
0.6,-200.0,49,-200.0,-200.0,2004-08-28 02:00:00
2.6,11.3,207,7.7,41.9,2005-04-02 20:00:00
2.7,14.8,110,25.7,23.8,2004-04-27 15:00:00
2.5,13.9,216,5.2,50.8,2004-11-21 00:00:00
3.8,15.1,116,18.5,43.8,2004-03-21 18:00:00
1.1,5.0,61,17.3,59.5,2004-04-05 23:00:00
2.2,8.6,125,10.4,74.4,2004-03-31 09:00:00
3.0,12.7,107,14.0,75.7,2004-03-12 22:00:00
1.5,4.1,158,7.5,43.8,2005-06-03 21:00:00
2.0,9.2,89,25.2,45.2,2004-06-13 00:00:00
1.7,10.8,50,18.2,70.0,2004-08-10 06:00:00
3.7,-200.0,177,-200.0,-200.0,2004-12-17 14:00:00
2.5,11.1,113,22.8,32.4,2004-05-14 10:00:00
1.7,7.4,67,9.6,68.8,2004-01-04 06:00:00
3.0,16.0,115,27.2,43.0,2004-10-23 16:00:00
2.6,12.9,159,27.7,30.1,2004-10-09 20:00:00
2.6,15.7,127,16.0,50.9,2004-03-17 23:00:00
3.9,18.3,175,6.5,41.7,2004-12-21 20:00:00
1.7,8.5,60,37.2,29.1,2004-08-19 18:00:00
1.5,7.0,169,15.0,28.5,2005-04-02 12:00:00
0.7,5.6,57,21.1,47.3,2004-05-07 06:00:00
4.9,24.5,240,5.3,77.4,2005-01-18 17:00:00
3.2,13.3,215,8.5,42.4,2005-08-03 21:00:00
1.6,6.9,122,16.3,58.4,2004-12-11 11:00:00
1.9,13.0,116,37.4,14.9,2004-11-06 15:00:00
0.2,4.3,114,9.4,53.6,2005-01-19 15:00:00
1.5,11.1,113,42.8,14.3,2004-07-22 14:00:00
6.0,25.7,224,17.2,52.7,2005-03-21 20:00:00
1.4,13.1,120,30.3,22.8,2004-05-31 12:00:00
0.3,1.7,-200,19.8,46.2,2004-05-20 03:00:00
0.8,4.9,52,35.8,22.4,2004-04-07 12:00:00
1.0,2.9,94,12.3,65.8,2005-03-19 03:00:00
2.0,-200.0,107,-200.0,-200.0,2004-08-27 18:00:00
3.4,15.6,99,21.8,63.0,2004-10-24 20:00:00
6.6,-200.0,326,-200.0,-200.0,2005-11-02 17:00:00
3.4,12.8,171,4.3,49.4,2004-12-23 10:00:00
0.5,2.2,-200,13.8,36.8,2004-10-12 03:00:00
1.0,7.6,61,24.1,43.3,2004-10-06 00:00:00
-200.0,6.6,-200,9.7,73.1,2004-12-28 07:00:00
1.5,8.8,77,25.1,59.9,2004-06-08 22:00:00
1.9,9.2,86,24.6,36.7,2004-01-05 11:00:00
2.3,11.2,102,14.2,43.3,2004-03-26 17:00:00
0.8,5.2,48,15.2,78.0,2004-10-28 05:00:00
2.8,16.7,136,28.4,40.4,2004-06-30 08:00:00
4.4,24.7,116,20.9,49.3,2004-06-15 07:00:00
0.6,2.4,-200,13.9,67.7,2004-07-05 03:00:00
0.8,2.2,-200,4.7,53.1,2005-09-03 03:00:00
-200.0,6.9,-200,16.3,57.2,2004-04-18 00:00:00
2.3,12.7,134,30.5,30.4,2004-06-27 21:00:00
-200.0,1.5,-200,9.5,79.7,2004-04-20 02:00:00
1.1,2.3,100,8.3,40.3,2005-02-27 16:00:00
2.6,10.7,145,8.1,85.0,2005-02-13 07:00:00
4.1,16.3,210,9.1,36.1,2004-12-23 13:00:00
1.0,4.0,68,11.8,71.4,2004-08-12 07:00:00
1.1,7.5,67,29.1,29.6,2004-03-07 20:00:00
3.0,14.8,127,19.8,37.2,2004-05-21 23:00:00
0.6,2.0,52,12.8,63.2,2004-03-16 05:00:00
1.2,5.0,97,26.7,60.1,2004-02-08 01:00:00
4.3,18.9,194,13.3,59.0,2005-08-01 16:00:00
-200.0,-200.0,-200,-200.0,-200.0,2004-08-09 14:00:00
0.6,0.8,48,5.8,65.0,2005-06-03 05:00:00
0.7,2.8,48,14.6,61.1,2004-07-05 05:00:00
1.6,5.5,111,20.8,50.4,2005-03-28 11:00:00
1.2,7.3,152,6.9,42.5,2005-01-24 20:00:00
3.1,16.3,274,7.7,49.8,2005-04-02 10:00:00
-200.0,4.2,-200,21.6,55.8,2004-12-09 04:00:00
1.1,4.3,64,18.2,41.9,2004-09-25 10:00:00
1.8,-200.0,106,-200.0,-200.0,2005-10-02 01:00:00
1.7,10.0,90,25.9,46.1,2004-02-07 01:00:00
-200.0,8.7,-200,22.4,58.3,2004-05-10 23:00:00
5.7,27.6,160,9.9,77.6,2004-11-23 09:00:00
4.0,22.9,172,35.8,13.7,2004-07-14 18:00:00
3.4,19.9,137,23.8,54.7,2004-01-10 11:00:00
-200.0,3.8,-200,15.2,55.5,2004-10-13 22:00:00
3.9,21.1,155,34.2,17.9,2004-06-07 19:00:00
3.1,19.7,140,33.9,26.8,2004-06-28 19:00:00
1.0,3.9,-200,8.0,70.6,2004-12-14 03:00:00
2.7,15.6,114,18.7,53.0,2004-06-12 16:00:00
1.6,6.7,101,17.3,38.8,2004-04-26 21:00:00
0.9,3.5,69,13.9,59.6,2004-03-04 06:00:00
2.2,12.8,121,29.1,35.4,2004-01-09 10:00:00
2.8,17.6,159,34.7,25.9,2004-09-06 11:00:00
11.5,49.4,190,11.5,76.2,2004-11-23 20:00:00
2.8,10.5,167,13.4,43.1,2005-02-01 16:00:00
1.9,7.7,189,7.9,69.0,2005-02-24 14:00:00
4.0,19.4,147,16.1,50.2,2004-03-19 16:00:00
1.8,7.9,74,17.1,60.4,2004-02-05 01:00:00
2.7,9.3,165,15.2,54.7,2005-09-01 19:00:00
2.6,15.6,105,25.5,52.3,2004-10-21 10:00:00
-200.0,12.3,-200,16.8,50.4,2004-04-20 21:00:00
0.5,6.5,60,16.6,52.1,2004-05-31 06:00:00
-200.0,5.5,-200,8.7,44.3,2004-12-30 21:00:00
0.5,0.9,-200,-1.1,41.4,2005-02-03 03:00:00
1.8,-200.0,121,-200.0,-200.0,2005-03-01 07:00:00
2.9,15.2,129,29.3,15.8,2004-03-17 16:00:00
1.4,5.7,113,14.0,66.1,2004-12-11 08:00:00
2.3,-200.0,96,-200.0,-200.0,2004-12-15 01:00:00
2.3,14.9,128,35.2,25.2,2004-09-13 16:00:00
0.9,4.1,79,14.1,55.6,2004-03-17 02:00:00
9.1,-200.0,219,-200.0,-200.0,2004-12-16 20:00:00
1.3,6.1,-200,30.1,26.7,2004-06-09 15:00:00
0.1,2.5,89,5.6,69.5,2005-01-19 07:00:00
0.4,3.1,46,21.4,45.6,2004-07-15 05:00:00
-200.0,8.3,-200,11.3,70.5,2004-04-19 18:00:00
3.1,10.9,120,13.1,81.7,2004-04-12 18:00:00
1.4,6.6,83,25.4,34.8,2004-09-18 10:00:00
1.8,9.7,115,27.4,32.0,2004-09-07 09:00:00
0.6,3.1,50,23.5,50.8,2004-06-27 07:00:00
2.4,-200.0,164,-200.0,-200.0,2005-10-02 23:00:00
1.5,8.4,59,30.8,45.0,2004-11-08 21:00:00
2.1,9.8,98,19.5,45.5,2004-05-13 15:00:00
2.0,11.3,208,32.6,31.8,2004-09-13 15:00:00
3.0,14.5,122,28.0,33.0,2004-01-09 20:00:00
1.2,5.8,109,35.7,29.0,2004-08-13 11:00:00
-200.0,-200.0,-200,-200.0,-200.0,2004-08-09 16:00:00
-200.0,27.6,-200,21.2,72.3,2004-09-15 08:00:00
-200.0,0.9,-200,14.6,57.1,2004-10-13 02:00:00
2.9,16.2,121,28.4,26.0,2004-04-28 16:00:00
1.9,11.5,124,28.4,50.7,2004-02-08 09:00:00
0.8,-200.0,54,-200.0,-200.0,2004-06-20 15:00:00
0.2,0.2,27,-0.1,37.5,2005-01-03 04:00:00
-200.0,12.4,-200,24.6,47.2,2004-11-09 23:00:00
2.1,9.8,103,15.8,40.5,2004-04-13 15:00:00
-200.0,3.0,-200,31.0,28.9,2004-08-21 13:00:00
3.3,14.1,154,15.4,55.3,2005-09-01 18:00:00
0.3,5.0,148,13.9,47.3,2005-03-13 10:00:00
5.4,29.8,152,26.2,48.9,2004-10-22 17:00:00
0.4,4.9,147,10.0,57.3,2005-12-03 02:00:00
4.6,19.5,169,19.4,47.5,2005-03-23 10:00:00
2.4,11.9,141,24.5,23.1,2005-03-23 14:00:00
-200.0,7.1,-200,20.4,64.4,2004-02-10 02:00:00
-200.0,29.3,-200,17.8,66.3,2004-10-18 20:00:00
2.1,6.8,219,3.1,57.8,2005-02-19 01:00:00
1.0,5.7,174,10.3,55.9,2005-12-03 00:00:00
1.0,5.9,57,20.3,70.6,2004-10-22 02:00:00
2.0,9.8,90,8.7,83.7,2004-11-29 07:00:00
1.6,6.5,71,16.5,70.2,2004-01-05 02:00:00
1.1,3.8,-200,7.9,63.5,2004-03-27 03:00:00
2.5,10.7,145,7.9,38.6,2004-12-21 17:00:00
1.4,7.7,-200,13.5,59.4,2004-09-26 03:00:00
-200.0,26.7,120,22.4,38.0,2004-07-28 08:00:00
7.4,33.5,248,16.4,41.9,2005-03-15 20:00:00
-200.0,5.5,-200,19.5,72.0,2004-09-13 05:00:00
-200.0,5.0,-200,33.6,28.9,2004-08-29 12:00:00
-200.0,11.8,-200,29.0,45.5,2004-09-14 10:00:00
3.0,10.3,113,10.2,78.4,2004-11-29 00:00:00
1.9,12.7,98,31.7,21.5,2004-05-21 14:00:00
-200.0,8.9,-200,25.4,36.2,2004-08-21 19:00:00
-200.0,4.3,130,5.7,75.1,2005-01-23 18:00:00
0.9,5.4,76,19.5,59.4,2004-10-06 05:00:00
1.3,3.1,134,3.1,48.1,2005-01-29 19:00:00
2.5,13.0,79,26.6,42.5,2004-03-11 14:00:00
3.7,18.7,129,22.3,64.3,2004-10-30 17:00:00
1.6,6.6,-200,14.8,67.6,2004-02-05 03:00:00
0.8,4.1,66,23.6,34.0,2004-05-23 10:00:00
0.2,0.5,29,8.0,64.5,2004-10-11 04:00:00
1.2,8.0,39,32.7,34.1,2004-09-08 11:00:00
2.7,11.6,143,14.3,38.4,2004-12-03 11:00:00
3.5,16.2,151,11.9,69.0,2005-11-01 23:00:00
1.4,-200.0,87,-200.0,-200.0,2005-10-02 04:00:00
2.8,11.7,161,18.1,21.0,2004-11-16 14:00:00
6.5,31.0,165,18.3,52.6,2004-03-15 20:00:00
1.0,2.8,74,12.4,31.9,2004-03-29 23:00:00
1.7,-200.0,117,-200.0,-200.0,2005-03-01 11:00:00
2.1,9.9,162,6.8,74.5,2004-11-18 07:00:00
0.6,6.5,76,19.2,42.0,2004-05-30 02:00:00
1.4,5.1,74,14.0,66.1,2004-07-12 00:00:00
-200.0,1.3,32,18.7,45.4,2004-05-31 04:00:00
2.3,12.8,113,25.5,43.8,2004-12-06 22:00:00
1.2,3.4,88,2.1,73.1,2005-02-01 08:00:00
1.0,3.2,95,3.6,55.4,2005-01-17 07:00:00
-200.0,3.1,-200,8.0,47.6,2004-12-30 22:00:00
-200.0,11.2,102,30.9,29.0,2004-07-20 21:00:00
-200.0,18.6,-200,24.6,63.9,2004-09-15 15:00:00
4.5,22.3,169,12.3,72.5,2004-11-24 17:00:00
1.6,6.6,96,11.9,71.1,2004-03-19 01:00:00
1.0,-200.0,59,-200.0,-200.0,2004-08-26 06:00:00
2.8,13.9,128,20.6,22.6,2004-08-04 14:00:00
1.5,5.0,92,10.5,57.9,2004-11-03 11:00:00
5.8,25.0,235,5.6,52.9,2005-01-18 10:00:00
2.4,12.2,115,27.1,38.8,2004-06-16 10:00:00
-200.0,20.4,-200,25.7,50.6,2004-08-30 09:00:00
1.5,-200.0,130,-200.0,-200.0,2005-03-01 23:00:00
0.6,2.5,51,16.3,59.8,2004-07-13 04:00:00
0.9,5.4,68,21.3,47.0,2004-08-16 06:00:00
-200.0,5.2,-200,33.4,25.1,2004-08-22 11:00:00
1.1,-200.0,71,-200.0,-200.0,2004-08-26 22:00:00
3.5,17.3,196,13.0,60.9,2005-12-01 12:00:00
-200.0,5.6,-200,29.0,51.7,2004-08-19 23:00:00
1.6,6.2,118,6.4,43.7,2004-12-19 02:00:00
-200.0,2.8,52,11.2,65.9,2004-02-04 04:00:00
1.7,7.4,66,11.5,81.7,2004-04-12 06:00:00
1.9,8.6,121,17.3,34.5,2005-09-03 15:00:00
-200.0,2.2,41,14.0,67.8,2004-07-05 04:00:00
-200.0,7.8,-200,19.4,40.7,2004-05-28 00:00:00
1.1,5.1,58,37.1,30.5,2004-12-08 13:00:00
4.4,23.1,138,21.7,44.0,2004-04-29 15:00:00
4.2,9.5,184,5.5,60.2,2005-02-27 01:00:00
1.9,8.5,-200,24.3,45.4,2004-06-09 08:00:00
6.1,16.9,204,10.8,52.4,2004-12-24 15:00:00
1.2,4.6,102,12.4,19.6,2004-12-18 18:00:00
1.4,6.4,140,13.6,22.7,2005-02-14 17:00:00
2.4,8.9,114,16.5,55.3,2004-08-12 19:00:00
1.6,6.9,98,4.3,82.9,2005-01-14 05:00:00
4.0,19.8,95,21.8,72.7,2004-01-11 18:00:00
2.7,15.2,132,28.4,35.7,2004-09-06 21:00:00
2.5,14.2,118,26.3,34.3,2004-10-06 22:00:00
1.8,8.3,95,23.7,37.2,2004-01-05 17:00:00
3.3,18.7,96,26.2,45.0,2004-02-09 09:00:00
1.7,9.8,102,22.9,47.9,2004-09-16 14:00:00
1.4,3.6,69,7.4,68.0,2004-03-28 07:00:00
0.5,3.1,60,24.0,46.4,2004-06-28 05:00:00
0.7,4.5,41,26.5,60.6,2004-12-08 06:00:00
3.0,13.1,147,11.1,62.0,2005-07-01 14:00:00
4.0,23.8,159,32.6,20.6,2004-06-07 20:00:00
-200.0,16.8,-200,22.4,57.9,2004-06-10 21:00:00
-200.0,11.1,-200,34.4,24.0,2004-02-09 14:00:00
0.3,-200.0,-200,-200.0,-200.0,2004-06-21 03:00:00
1.0,6.2,60,24.7,47.6,2004-06-27 08:00:00
2.0,17.1,134,14.0,66.4,2005-10-01 18:00:00
1.1,5.3,70,19.5,57.1,2004-03-05 22:00:00
3.5,16.6,202,10.1,45.6,2004-11-16 08:00:00
2.5,13.7,91,21.3,66.1,2004-10-22 21:00:00
2.0,10.7,111,22.8,43.0,2004-07-17 08:00:00
1.2,9.2,80,17.2,52.9,2004-05-22 07:00:00
-200.0,6.0,-200,37.2,23.6,2004-04-08 14:00:00
1.0,5.8,142,4.3,56.7,2005-01-25 19:00:00
-200.0,1.9,-200,5.1,68.7,2004-09-11 03:00:00
1.7,8.5,97,26.0,22.7,2004-05-15 17:00:00
1.5,6.4,111,16.3,51.9,2005-06-01 15:00:00
1.2,-200.0,85,-200.0,-200.0,2004-08-27 23:00:00
1.7,8.1,98,28.1,50.6,2004-08-08 21:00:00
1.6,9.9,105,25.0,36.6,2004-08-24 09:00:00
-200.0,5.8,-200,13.4,54.2,2004-04-14 23:00:00
2.6,12.7,103,23.6,59.8,2004-06-24 00:00:00
2.7,12.4,98,10.4,48.0,2004-03-26 19:00:00
1.0,2.1,105,4.5,48.0,2005-02-27 22:00:00
2.4,14.1,134,10.7,34.2,2004-11-12 09:00:00
0.7,2.5,44,29.8,38.6,2004-07-25 14:00:00
0.6,1.7,-200,8.2,68.5,2004-03-26 03:00:00
1.5,5.2,145,6.6,42.6,2005-01-16 23:00:00
0.7,3.4,49,34.8,24.5,2004-08-14 14:00:00
-200.0,1.7,-200,22.9,59.4,2004-08-30 04:00:00
2.5,13.4,153,34.9,18.4,2004-10-09 16:00:00
0.1,4.9,83,16.1,70.0,2005-03-26 06:00:00
2.3,12.2,137,27.3,40.7,2004-08-17 09:00:00
2.2,13.5,116,11.8,66.3,2005-03-22 08:00:00
1.4,7.4,70,24.8,47.9,2004-10-24 14:00:00
0.3,0.8,-200,14.0,44.3,2004-04-26 03:00:00
1.3,10.4,168,18.2,28.1,2005-11-03 17:00:00
1.0,4.0,57,35.0,29.0,2004-08-14 11:00:00
2.1,8.0,119,13.3,63.6,2004-12-27 19:00:00
2.8,11.8,103,15.5,50.8,2004-03-31 18:00:00
-200.0,2.1,-200,24.5,57.1,2004-05-08 04:00:00
0.1,7.6,136,4.0,80.4,2005-01-24 02:00:00
0.6,-200.0,58,-200.0,-200.0,2004-08-27 04:00:00
3.7,18.0,126,19.1,41.9,2004-05-22 00:00:00
0.6,2.7,89,4.5,56.3,2005-11-03 06:00:00
1.3,4.8,146,4.2,49.4,2005-01-02 00:00:00
-200.0,2.1,34,17.2,57.9,2004-07-06 04:00:00
0.8,3.3,110,9.7,30.8,2005-05-02 15:00:00
0.7,2.8,48,20.2,47.1,2004-08-24 05:00:00
5.5,17.3,175,4.7,83.4,2004-12-19 18:00:00
1.9,9.5,106,24.5,32.3,2004-02-05 17:00:00
1.7,8.7,111,6.0,76.7,2004-12-14 07:00:00
5.6,26.1,189,13.2,51.0,2005-03-17 09:00:00
2.8,19.1,131,35.8,24.1,2004-07-23 19:00:00
0.7,3.3,68,15.5,47.3,2004-04-27 05:00:00
0.6,3.4,50,21.1,45.6,2004-07-18 05:00:00
0.9,5.5,70,18.6,45.8,2004-06-26 06:00:00
1.1,6.5,92,19.5,39.3,2005-02-13 14:00:00
0.7,2.3,-200,13.6,62.1,2004-03-16 03:00:00
4.0,21.2,193,11.4,28.7,2005-01-17 17:00:00
-200.0,2.5,67,12.0,64.6,2005-06-01 04:00:00
1.6,4.9,112,4.1,65.8,2005-02-01 10:00:00
0.9,6.1,65,40.0,20.0,2004-07-31 15:00:00
-200.0,6.8,37,31.8,31.0,2004-02-06 15:00:00
3.4,19.7,153,31.1,18.7,2004-11-06 19:00:00
0.8,7.3,91,36.3,16.3,2004-07-18 11:00:00
5.7,31.2,81,19.4,66.5,2004-08-10 07:00:00
1.5,5.7,109,14.4,57.1,2004-12-27 13:00:00
-200.0,14.5,-200,24.1,34.8,2004-03-06 20:00:00
-200.0,24.1,-200,17.3,70.9,2004-10-15 09:00:00
-200.0,10.6,-200,29.9,42.1,2004-04-08 09:00:00
2.8,-200.0,114,-200.0,-200.0,2004-06-20 18:00:00
1.9,8.8,184,11.4,32.6,2005-04-02 17:00:00
1.5,8.3,111,19.8,47.7,2004-09-28 22:00:00
1.0,3.0,-200,12.2,69.6,2004-05-12 03:00:00
0.9,1.3,36,14.7,59.8,2004-11-19 05:00:00
2.6,10.1,113,11.8,76.1,2004-01-12 20:00:00
2.0,8.3,91,25.5,33.5,2004-01-05 16:00:00
1.2,6.9,90,42.2,14.2,2004-06-27 16:00:00
3.4,16.4,137,15.4,63.9,2004-02-12 11:00:00
1.8,11.7,108,35.6,27.2,2004-02-07 12:00:00
1.9,8.0,105,17.0,51.7,2004-03-21 22:00:00
4.6,16.4,169,11.6,51.2,2004-12-12 19:00:00
-200.0,1.0,-200,28.9,48.4,2004-08-20 04:00:00
1.3,4.0,95,4.8,64.6,2004-12-12 07:00:00
1.0,2.8,70,4.2,77.0,2005-01-15 06:00:00
1.4,3.6,116,9.6,43.5,2005-02-26 11:00:00
1.9,7.4,143,4.2,58.1,2005-01-17 23:00:00
1.8,8.8,71,22.0,67.0,2004-10-31 13:00:00
3.0,19.3,130,30.9,20.5,2004-05-18 17:00:00
1.0,5.5,48,15.5,78.5,2004-10-26 02:00:00
2.6,13.9,110,16.5,54.6,2004-07-12 17:00:00
2.9,11.5,123,9.4,75.0,2005-01-13 00:00:00
2.1,13.2,144,36.3,23.4,2004-06-28 11:00:00
3.2,14.9,116,17.3,72.4,2004-04-30 12:00:00
4.0,19.2,149,13.9,57.1,2004-03-19 10:00:00
1.7,4.4,93,12.6,70.5,2004-05-12 21:00:00
1.0,7.2,83,26.9,40.3,2004-09-07 06:00:00
0.4,2.3,40,27.4,42.2,2004-09-07 04:00:00
2.7,-200.0,-200,-200.0,-200.0,2005-03-01 03:00:00
1.3,4.8,143,8.9,46.1,2005-02-17 15:00:00
-200.0,2.2,-200,9.7,46.0,2004-12-30 00:00:00
0.4,5.3,54,37.6,16.4,2004-07-18 18:00:00
2.0,8.4,119,18.7,54.5,2005-03-26 20:00:00
-200.0,11.3,-200,21.9,44.9,2004-10-14 15:00:00
0.6,2.2,39,16.4,62.1,2004-03-05 02:00:00
0.4,2.7,65,21.7,33.4,2004-09-09 05:00:00
2.7,12.2,92,24.2,39.2,2004-06-14 17:00:00
1.4,5.7,72,21.2,23.1,2004-03-28 13:00:00
-200.0,9.1,-200,32.7,22.7,2004-11-09 13:00:00
1.1,2.9,114,12.4,34.9,2005-02-19 15:00:00
0.7,4.6,66,21.8,52.3,2004-06-07 05:00:00
0.8,2.2,52,17.9,30.7,2004-04-25 13:00:00
5.8,26.6,157,17.4,45.6,2004-03-15 10:00:00
4.2,19.1,130,13.0,54.2,2004-08-04 09:00:00
0.7,3.6,45,13.1,70.2,2004-02-05 06:00:00
3.3,20.9,107,20.8,56.3,2004-05-11 12:00:00
3.3,18.3,180,29.1,36.7,2004-09-22 11:00:00
0.6,6.5,59,17.8,80.3,2004-05-31 23:00:00
4.9,23.6,128,15.7,72.7,2004-03-12 19:00:00
0.5,1.2,63,10.2,43.6,2004-11-16 06:00:00
-200.0,2.0,-200,18.0,40.9,2004-05-27 04:00:00
2.6,13.8,80,8.1,70.5,2004-08-04 07:00:00
2.1,12.0,93,27.1,32.4,2004-08-16 09:00:00
1.8,4.1,112,8.7,51.1,2005-01-20 00:00:00
-200.0,10.7,-200,14.3,48.6,2004-12-28 15:00:00
1.7,5.8,139,20.5,38.4,2005-03-19 17:00:00
-200.0,4.4,-200,23.0,46.2,2004-08-18 03:00:00
-200.0,14.2,-200,17.6,65.9,2004-10-18 21:00:00
1.6,7.8,111,17.5,30.9,2004-05-24 07:00:00
2.8,13.0,150,8.7,48.3,2005-01-20 21:00:00
1.1,5.2,117,13.0,30.3,2005-05-03 11:00:00
-200.0,27.2,-200,20.8,65.1,2004-10-19 20:00:00
1.7,10.8,60,20.9,61.3,2004-07-10 23:00:00
7.5,29.2,185,12.3,78.8,2004-01-12 18:00:00
1.1,4.8,64,24.4,32.7,2004-02-05 13:00:00
2.7,8.5,218,4.3,79.5,2005-02-22 21:00:00
1.1,3.5,110,4.2,62.5,2005-05-03 05:00:00
